"","Common name","Image","Origin","First developed","Comment","Use"
"26","Allen´s Everlasting[8][26]","","?","<1864","Late-keeping desert apple. First Class Certificate from RHS in 1899. Pick mid October. Use February - April.","Eating"
"27","Allington Pippin[8][13][21][27]","","Lincolnshire, United Kingdom","1880s, introduced 1896","A versatile English dessert apple raised by horticulturalist Thomas Laxton some time before 1884. Exhibited as Brown's South Lincoln Beauty, the name was changed to Allington Pippin by Bunyard Nursery in 1896. A cross of Cox's Orange Pippin and King of the Pippins. A small apple, aromatic, with a pineapple-like flavour, keeps its shape when cooked. H 61-68 W 68-70. Stalk 15 mm. First Class Certificate from RHS in 1894. Pick late September. Use October - December.","Eating, Cooking, Dessert"
"28","All Summer[3]","","Pa. US","<1850","Flesh white, tender, very good. Tree slow growth, annual bearer, productive. Stalk slender. Use July - August.","Eating"
"29","Almeda[5]","","Tennesse, US","Introduced 1939","Fruit large, green. Flesh subacid. Ripens July 25 - August 5.","Cooking"
"30","Altländer Pfannkuchenapfel[18]","","Germany","1840","W 67, H 51, We 115. Stalk 10 –20 mm. Pick October. Use March - May.","Cooking, Eating"
"31","Alvanija(syn. Elvanija, Ilvanija)[11]","","Croatia","","A green oblong apple with red flush. W 60-75, H 65-80, We 110-140. Flesh firm, juicy. Use October.","Eating, Cooking, Cider"
"32","Ambrosia","","British Columbia, Canada","1980s","Medium to large in size, mostly red coloration with yellow patches. Has cream-coloured flesh with a sweet, crisp, aromatic flavour and low acidity. Ambrosia trees are hardy and no major disadvantages have yet been identified.","Eating"
"33","American Beauty[3]","","Massachusetts, US","<1855","Tree vigorous, productive, annual bearer. Stalk short. Flesh yellowish, tender, juicy, subacid, aromativ, very good. Use December - April.","Eating"
"34","American Golden Pippin(syn. Golden Pippin, Ribbed Pippin, Golding, New York Greening, Newtown Greening, Golden Apple)[3]","","US","<1850","Yellow with russet. Flesh yellowish, juicy, aromatic, subacid, very good. W 79. H 65. Stalk 16 mm. Tree does not bear young. Use November - February.","Eating"
"35","American Golden Russet(syn. Golden Russet, Sheep Nose, Bullock´s Pippin, Little Pearmain.[6][28]","","US","late 1700s","Yellow with brown overcolour and grey russet. W 64-74. H 58-72. Stalk 13–23 mm. Flesh yellowish, tender, juicy sugary, lightly aromatic, best. Use October - January.","Eating"
"36","American Melon see Melon American",NA,NA,NA,NA,NA
"37","American Mother see Mother",NA,NA,NA,NA,NA
"38","American Summer Pearmain see Summer Pearmain American",NA,NA,NA,NA,NA
"39","Anabela[10]","","Brazil","Introduced 1995","P Gala x Anna. A yellow apple with (30-40%) red flush. Flesh juicy, sweet, very good. Tree vigorous.","Eating"
"40","Ananas Reinette[18][13][29][30]","","Netherlands","<1800","A small yellow apple with pineapple flavor. W 48-65mm, H 52-65mm. We 115. Stalk 15 – 20 mm. Picking October. Use December - February.","Eating"
"41","Anisovka(syn. Anis koritschnevoje, Anis polosatyiy)[31]","","Russia","<1850","Medium size, round, greenish yellow with red stripes. Pick September. Use October - December.","Cooking, Eating"
"42","Anna[10]","","Israel","Introduced 1963","Colour is yellow with a red blush. P Red Hadassiya x Golden Delicious. This variety does not grow well in the cold and prefers heat and humidity. Tree annually productive.","Eating"
"43","Annie Elizabeth[32][7][8][21]","","Leicester, Leicestershire, England","introduced 1868","Large yellow apple, FCC from RHS in 1868. W 79-87, H 63-65. Stalk 9–18 mm. Pick late September - early October. Use November - April.","Cooking, Eating"
"44","Annurca","","Campania, Italy","1876 (documented)","Very old apple; possibly one of the oldest of all. Believed to be much older than first mention in Pasquale's Manuale di Arboricultura, 1876. May be related to apples found in frescoes found in Herculaneum or Pompeii if not the same one.[33]","Eating"
"45","Antonovka[13]","","Kursk, Russia","17th century","A very old Russian variety, often planted at dachas. Apples are large, yellow-green and bracingly tart to eat out of hand, but superb for cooking, as they keep their shape. Stalk 10 mm. Extremely tolerant of cold weather, and because it produces a single, deep taproot (unusual among apple trees), Antonovka is propagated for use as a rootstock. Antonovka rootstock provides a cold-hardy (to -45 °C), well-anchored, vigorous, standard-sized tree.","Cooking, Cider"
"46","Antonovka Safrannoje[31]","","Russia","1909","A large yellow apple with red flush. P Antonovka x Renet Orleanski","Eating, Cooking"
"47","Apfel aus Grignon[34]","","?","<1800","A yellow apple with red flush and russet. W 82 H 66. Stalk 30 mm. Use December - March.","Eating, Cooking"
"48","Api[6]","","France","1628","Very tiny apple. Would fit in the palm of the hand of an adult.","Eating"
"49","Api Noir[6]","","France","late 1700s","A desert apple, inferior to the Api.","Eating"
"50","Apollo[18]","","Germany","1976","Cox's Orange Pippin × Geheimrat Dr. Oldenburg. W 69, H 59, We 140. Stalk 13 mm. Pick September. Use September - October.","Eating"
"51","Arapka(syn. Bugarka)[11]","","Montenegro","","A red oblong conical apple. W 61, H 66. We 118. Flesh soft, juicy, sweet, subacid, with a pronounced flavour. Use October - May.","Cooking"
"52","Ard Cairn Russet[8]","","Cork, Ireland","c. 1890","Medium sized long-keeping dessert apple. Award of Merit from RHS in 1910. Pick late September - early October. Use October - January.","Eating"
"53","Ariane","","Angers, France","2002","Scab resistant. Developed at the National Institute of Agricultural Research in France.","Eating"
"54","Arkansas Black(syn. Arkansas, Mammoth Black Twig)[35][36]","","Arkansas, US","c. 1870","Hard and crunchy; stores well. W 69, H 60. Stalk 20 mm. Very deep red, appearing black from a distance. Flesh yellow, firm, tewnder, juicy, subacid, crisp, good. Use December - May.","Eating"
"55","Armorel[7]","","England","introduced 1893","A small yellow apple with russet. FCC from RHS in 1892. Flesh crisp, good. Use February - May.","Eating"
"56","Aroma[14]","","Sweden","1947, Introduced 1973.","A yellow apple with red flush. W 63, H 58. P Ingrid Marie x Filippa. Use November - December.","Eating"
"57","Aromatic Russet[3]","","England","<1870","Flesh greenish white, firm, subacid, aromatic. Use November - February.","Eating"
"58","Arreskov[13]","","Denmark","<1860","A yellow apple with a pleasant aroma reminding of gravenstein. W 77-85mm, H 66-75mm. Stalk 8-15mm.","Eating"
"59","Arthur Turner[7]agm[37][21][38]","","Buckinghamshire, England","<1912, introduced 1914","W 80, H 48-76. Stalk 10–16 mm. Large golden cooker: prone to mildew but scab resistant. Award of Merit from RHS in 1912. Pick late September. Use September - November.","Cooking, Baking"
"60","Arthur W. Barnes[8]","","Chester, England","1902","P Gascoyne´s Scarlet x Cox Orange. A yellow apple with red flush. W 82, H 70. Stalk medium. Flesh white, juicy, acid. Pick late September. Use November - March.","Cooking"
"61","Ashmead's Kernel[7]agm[39]<[21]","","Gloucestershire, England","c. 1700","W 57, H 57. Flesh pale yellow, subacid and very aromatic. W 54-64, H 54-57. Stalk 7–12 mm. Pick early-mid October. Use December - February.","Eating"
"62","Ashmore[4][3]","","US","<1840","W 85, H 66. Stalk 11 mm. Flesh yellowish-white, crisp, juicy, subacid, very good. Use September - October.","Cooking, Eating"
"63","Atalanta[7]","","England","<1891, introduced 1893","Lemon yellow with red streaks. AM from RHS in 1891. Use November - January.","Cooking, Eating"
"64","Atlas[14]","","Ottawa, Canada","1924","A truncate conical yellow apple with red stripes. W 67, H 67. Pick September. Use October - December.","Eating, Cooking"
"65","Auksis","","Lithuania","1951","McIntosh x Gravenstein","Eating"
"66","Auralia see Tumanga",NA,NA,NA,NA,NA
"67","Aurora Golden Gala","","British Columbia, Canada","2003","Dessert apple; medium size, sweet, juicy, crisp, firm, very long storage life.","Eating"
"68","Ausbacher Roter(syn. Ausbacher Rotapfel)[40]","","Ausbach, Hesse, Germany","1770, introduced 1870","A yellow apple with red  flush. W 77, H 70. Stalk 12 mm. Tree vigorous. Flesh white to greenish yellow, subacid. Quality: cooking good, eating fair. Pick late September. Use October - April.","Cooking"
"69","Austin Sweet[3]","","Pennsylvania, US","<1875","Flesh white, juicy, sweet, very good. Stalk short. Use September - December.","Eating"
"70","Autumn Glory[41]","","Washington, US","2011","The Autumn Glory variety is a hybrid of the Fuji (apple) and the Golden Delicious apple, featuring a red over golden background. Very sweet, firm flesh with a subtle ""cinnamon"" flavor. Produced only by Domex Superfresh Growers in Washington's Yakima Valley.","Eating"
"71","Automn Pearmain[29][21]","","England","1588","Green with russet and red overcolour. H 60-68, W 67-72. Stalk 12 – 17 mm. Flesh cream coloured, nutty and aromatic. Pick late September. Use September - November.","Eating"
"72","Avajlilja[11]","","Turkey","","A green apple with red flush. Tolerant to common apple diseases and pests. Flesh sweet sour taste, weak aroma.",""
"73","Babovaca[11]","","Montenegro","","A green apple with red flush. W 96, H 79, We 250. Stalk very short. Flesh soft, sweet and sour. Use October - April.",""
"74","Bailey(syn. Bailey Sweet).[4][42][43]","","Wyoming County, New York, US","c. 1840","Red apple with considerable white flecks. Has some russeting. W 86, H 74. Stalk 21 mm. Flesh yellow, tender, juicy, very sweet, very good. Use October.","Eating, Cooking"
"75","Baker´s Delicious[8]","","Wales","<1932","A yellow apple with orange-red flush. W 63, H 58. Stalk short. Flesh white, crisp, juicy, aromatic. Pick late August - early September. Use August - September.","Eating"
"76","Baldwin(syn. Woodpecker, Pecker, Butters)[44][6][3][45]","","Massachusetts, US","c. 1740","Flesh yellowish white, crisp, sweet to subacid flavor, very good. W 81, H 68. Stalk 22 mm. Very old variety for North America. Makes much juice. Use November - March.","Cooking, Eating"
"77","Ballinora[7]","","England","<1898","Golden yellow with red flush. W 79, H 56. AM from RHS in 1898. Use December - January.","Cooking, Eating"
"78","Ball´s Pippin[46][47]","","England","<1920","A green-yellow apple with red flush and russet. P Cox Orange x Sturmer Pippin. Flesh white, juicy, sweet, aromatic. AM from RHS in 1923. Use January.","Eating"
"79","Ballyfatten","","County Tyrone, Ireland","c. 1740","A large, round apple with firm, dry, sweet, slightly tart white flesh. Excellent keeper. Scab and canker resistant.","Cooking, Eating"
"80","Baltimore(syn. Baltimore Pippin)[3]","","US","<1860","W 78, H 62. Stalk 15 mm. Flesh whitish, juicy, subacid. Use December - April.","Eating"
"81","Banks[28][48]","","Nova Scotia","1880","A red sport from Gravenstein","Eating, Cooking, Pie"
"82","Barcelona Pearmain[6][49]","","England","<1837","One of the best dessert apples. The tree is a free grower, but does not attain the largest size.","Eating, Cooking"
"83","Bardsey Island Apple","","Bardsey Island, Wales","1998","A medium-sized eating apple with a unique lemon aroma. Sweet and juicy. Skin color red over gold. Very disease resistant. Single tree discovered on Bardsey island in 1998, age of original tree unknown. May have monastic origins.","Eating"
"84","Barnack Beauty[7][8][21]","","Barnack, Northamptonshire, England","c.1840, introduced c. 1870","Medium sized apple. Yellow, 25-75% flushed with orange red. AM from RHS in 1899. FCC from RHS in 1909. W 67, H 58. Stalk 20–25 mm. Flesh juicy, hard. Pick late September. Use December - March.","Eating"
"85","Barnack Orange[8]","","England","1904","P Barnack Beauty x Cox Orange. W 76, H 67. Stalk short. Flesh white, juicy, subacid, aromatic. Pick late September. Use November - February.","Eating"
"86","Baronesa[10]","","Brazil","Introduced 1997","P Princesa x Fuji. We 130. Flesh sweet, crisp. Tree vigorous.","Eating"
"87","Batul(syn. Batulenka, Batulka)[11]","","Romania or Hungary","","A green apple with red flush. Russet in stalk cavity. W 50, H 50, We 80. Flesh acidic with poor aroma.","Eating"
"88","Baumanns Reinette[18][50][51]","","Belgium","c. 1810","Medium size. Skin brilliant crimson. W 66, H 52. We 110. Stalk 10 – 15 mm. First Class Certificate from RHS in 1878. Pick late September. Use December - March.","Cooking, Eating"
"89","Baxter´s Pearmain[6]","","Norfolk, England","1821","A large dual purpose apple. The tree is hardy, vigorous, a most abundant bearer. Pick late September - early October. Use November–March.","Cooking, Eating"
"90","Beacon","","Minnesota, US","1936","Lively, juicy flavor; good for baking. Does not keep very well.","Cooking, Eating"
"91","Beauty of Bath[7][21][52]","","Somerset, England","1864","W 63, H 51. Stalk 9 – 12 mm. Deep red flush and streaks of red with a little russet. Early maturing but short season. Formerly grown commercially in England for local markets. FCC from RHS in 1887. Good flavor in its home climate if it is eaten soon after picking. Poor flavour if distributed long distances and stored for weeks, so now rare. Pick early August. Use early August.","Eating"
"92","Beauty of Bedford[7][53]","","Bedfordshire, England","1913","H 64, W 64. P Lady Sudely x Beauty of Bath. Greenish yellow with orange flush. Flesh yellow, firm, juicy, sweet. Pick mid. September. Use September - October.","Eating"
"93","Beauty of Hants[7][8]","","Southampton, Hampshire, England","c1850","A yellow apple with orange-red flush.  W 80, H 70. Stalk variable. Flesh very crisp, yellowish juicy, highly aromatic. Triploid. Pick late September. Use November - February.","Eating"
"94","Beauty of Kent[7][8]","","Kent, England","1820","Old culinary apple, very irregular, ribbed. W 90, H 83. AM from RHS in 1901. Flesh yellowish, tender, subacid. Pick late September. Use December–March.","Cooking"
"95","Beauty of Stoke[7]","","Nottinghamshire, England","Tree vigorous. FCC from RHS in 1890. Flesh yellowish, firm, dry, pleasant flavour. Use January - March.","Cooking, Eating",NA
"96","Beauty of Wiltshire(syn. Weisse Wachs Reinette)[34]","","?","<1800","Yellow with red flush. W 65, H 56. Stalk 9 mm. Flesh juicy, very acidic. Use October - November.","Cooking, Eating"
"97","Bedfordshire Foundling[6]","","Bedfordshire, England","c.1800","An excellent culinary apple. Pick late September. Use December - March.","Cooking"
"98","Bedrika(syn.Prisatka)[11]","","Serbia ?","","A green conical apple with red flush. W 77, H 65. We 184. Flesh white, sweet, with pleasant aroma.","Eating"
"99","Beefsteak[3]","","US","<1870","Stalk medium. Flesh white, tender, crisp, juicy, subacid. Very good. Use October - November.","Eating"
"100","Beeley Pippin[8]","","Derbyshire, England","c1880","A yellow apple flushed(25-50%) with red. W 73, H 62. Stalk short. Flesh yellow, juicy, sweet, aromatic. Pick late August. Use September - October.","Eating"
"101","Belle de Boskoop agm[54][13][18][21]","","Boskoop, Netherlands","1856","W 73-82, H 67, We 205. Stalk 10–25 mm. Flesh acid and aromatic. AM from RHS in 1897. Pick early October. Use January - April.","Cooking, Baking"
"102","Belle de Buits[34]","","Buits, La Vienne, France","<1860","A yellow apple with red flush. W 68-74, H 49-54. Stalk 17 mm. Flesh white, crisp, juicy, aromatic, sweet. Use January - April.","Cooking, Eating"
"103","Belle de Pontoise[7][21]","","France","1869, introduced 1879","Large flat-round apple. Greenish-yellow, 25-75% flushed with red. Biennial. W 86, H 64. Stalk 15–20 mm. Flesh white, sweet, juicy. Pick mid October. Use November - March.","Cooking."
"104","Belmont[3]","","Pa. US","<1870","W 82, H 67. Stalk short to medium. Flesh yellowish, crisp, tender, juicy, aromatic. Very good. Tree vigorous, healthy, very productive. Use November - February.","Eating"
"105","Ben Davis[55][56]","","Southeastern US","c. 1800","Noted for keeping well prior to refrigerated storage, but flavour has been compared with cork.","Eating"
"106","Bennet[3]","","Herefordshire, England","<1870","A cider apple.","Cider"
"107","Benoni[57][58][59][60]","","Massachusetts, US","<1832","A small orange-yellow apple with red overcolour. W 59, H 53. Stalk 16 mm. Flesh yellow, firm, crisp, tender, juicy, subacid, good to very good. BB. Pick late August. Use August - September.","Eating"
"108","Ben´s Red[7][8]","","Cornvall, England","c.1830","Medium to large apple. Slightly ribbed. Skin flushed and striped dark red. Flesh pale yellow, sweet, aromatic. P Devonshire Quarrenden x Box Apple. Award of Merit from RHS in 1899. Pick early September. Use September.","Eating"
"109","Bentley Sweet[4]","","Virginia, US","<1850","Flesh sweet. Tree vigorous,productive, an early bearer. Use April - September.","Eating"
"110","Berner Rosen[13]","","Switzerland","1860","A red apple. H 57-62, W 62-66. We 110. Stalk 20 mm. Pick October. Use December - February.","Eating"
"111","Bess Pool[7][21]","","Nottinghamshire, England","1824","Round-conical apple. Flesh firm but tender, white, sweet, rather dry. Trees are shy bearers at first. W 67, H 58. Stalk 10–15 mm. Pick early October. Use November - February.","Eating"
"112","Bethlemite[3]","","US","<1860","W 78, H 58. Stalk 13 mm. Flesh juicy, subacid, aromatic. Use December - March.","Eating"
"113","Beverly Hills[5][10]","","California, US","1939, Introduced 1945.[61]","P Melba x Early McIntosh. Slightly tart flavor. Flesh white. Likes warm weather. MacIntosh style summer apple that is self fertile and well adapted to low chill conditions.[61]","Eating"
"114","Bietigheimer[62][63]","","Germany","<1870","Fruit very large with russet.  W 110, H 78. Stalk 16 mm. Tree large, vigorous. Flesh white, firm, coarse, srisp, juicy, subacid, fair to good. Use September - October.",""
"115","Birgit Bonnier[64]","","Sweden","1992","A cross between Cortland (apple) and Lord Lambourne.",""
"116","Bismarck[13][7][65][66]","","Victoria, Australia","1870","Large fruit with a yellow-green with red overcolour. Flesh crisp, juicy, subacid, fair to good. FCC from RHS in 1887. Width 65-85mm, height 58-72mm. use November - February.","Cooking"
"117","Black Annette[3]","","US","<1820","Flesh white, tender, good. Use November - December.","Eating"
"118","Black Apple[3]","","US","<1820","Flesh white, good. Use November - February.","Eating"
"119","Black Gilliflower[4][67]","","US","<1800","W 68, H 74. Stalk 15 mm. Flesh white, dry, subacid, good. Tree very productive. Use November - March","Eating"
"120","Blackjon[5]","","Washington, US","Introduced 1931","Mutation of Jonathan","Eating"
"121","Blackmack[5]","","British Columbia, Canada","Introduced 1930","Mutation of Red McIntosh.","Eating"
"122","Black Oxford[3]","","Maine, US","<1870","Flesh white, dry, subacid, good. Tree a great bearer. Use March - May.","Eating"
"123","Black Sweet(syn. Moore´s Sweeting)[4]","","US","<1820","W 82, H 67. Stalk 10 mm. Flesh yellow, dry, very sweet. Quality inferior. Use December - March.","Baking, Cider"
"124","Bledsoe[4]","","Kentucky, US","<1855","A large apple. Stalk short. Flesh crisp, juicy, subacid, good. Use September - April.","Eating"
"125","Blenheim Orange (syn. Emilia in Ecuador and Pennsylvania in Colombia)agm[68][18][69][70]","","England","c. 1740","Has greenish-yellow to orange skin streaked with red. W 75-91 , H 60-70, We 165. Stalk 10–20 mm. Distinctive nutty flavor excellent for cooking. The vigorous tree is slow to come into crop but then produces heavily.","Cooking, Eating"
"126","Bloody Ploughman","","Carse of Gowrie, Scotland","c. 1800","A medium-sized, very dark red, heavily ribbed apple. Crisp, mildly sweet white flesh, sometimes pink-streaked. It is reputed to have got its name from a ploughman who was caught stealing apples near Megginch Castle and was shot by the gamekeeper. His wife got the bag of apples and threw them on the compost heap where a seedling then grew and - voila - Bloody Ploughman.","Eating"
"127","Blue Pearmain[8][3][7][71]","","US","c1800","A yellow apple with dark red stripes. H 63, W 70. Steam short and stout. FCC from RHS in 1896. Flesh aromatic, spicy, subacid, very good. Pick October. Use November - December.","Cooking, Cider, Eating"
"128","Bodil Neergaard[72]","","Denmark","1855","A green oblong conical apple. W 56-61, H 70-75. Stalk 10 mm. Pick October. Use January- March.","Eating"
"129","Böhmer(syn. Edel-Böhmer)[34]","","Tyrol","<1857","Green with red flush. W 75, H 55. Stalk 13mm. Use December - March.","Eating"
"130","Böhmischer Rosenapfel[34]","","Bohemia, Germany","<1800","A large apple. W 81, H 56. Stalk 12 mm. Flesh juicy, sweet. Use August - September.","Eating,Cooking"
"131","Bohnapfel[18]","","Germany","<1800","W 55, H 55, We 100. Stalk 10 – 20 mm.Pick October. Use March–May.","Cooking, Cider"
"132","Boiken[18][13][73]","","Germany","1828","Culinary apple. H 56, W 68, We 125. Stalk 17–23 mm. Flesh white, firm, crisp, tender, juicy, subacid, good.
Picking October Use: February–May.","Cooking, Drying."
"133","Bonum(syn. Magnum Bonum)[3][74][75]","","US","1828","W 77, H 57. Stalk 20 mm. Flesh white, firm, tender, aromatic, juicy, mild subacid, very good. Use September - December.","Eating"
"134","Borgovskoje[31]","","Russia","<1860","A sweet yellow apple. Pick late August.","Eating"
"135","Bottle Greening[3]","","Green Mountains, US","<1850","Produces large fruit. Has thick skin. Flesh white, subacid. Use January - February.","Eating, Cider"
"136","Bough see Sweet Bough",NA,NA,NA,NA,NA
"137","Bountiful[21]","","Kent, England","","W 76, H 57. Stalk 20 mm. A yellow apple flushed (0-25%) with red. Flesh, fairly juicy, fairly tender. Pick late September. Use September - January.","Cooking, Eating"
"138","Bow Hill Pippin[7]","","Bow Hill, Kent, England","introduced 1893","Golden yellow with slight flush. AM from RHS in 1893. Flesh yellow, firm, juicy, good. Use November to February.","Eating"
"139","Braeburn","","New Zealand","1952","Chance seedling. The fruit is widely sold commercially in the United Kingdom.","Eating"
"140","Brabant Bellefleur[7]","","France ?","<1830","Large golden yellow with red flush and stripes. Stalk short. AM from RHS in 1901. Flesh crisp, yellow, acid. Use December - April.","Cooking"
"141","Bramley (Bramley's Seedling) agm[76]","","Nottinghamshire, United Kingdom","1809","The fruit is the most widely sold cooker in the United Kingdom. Triploid. W 83, H 70. Stalk 10-20mm. Large sized fruits with waxy skin, green with a red flush. A favorite ingredient in many traditional British puddings.[77]","Cooking"
"142","Brasil(syn. Bruckner, Bruckner do Brasil)[10]","","Brazil","1940s","Fruit large, resembles Delicious. Tree vigorous.","Eating"
"143","Brauner Matapfel[78]","","Germany","<1800","A yellow apple with redbrown flush. W 65, H 55. Stalk 7 mm. Flesh whitish-yellow, sweet, subacid. Quality cooking good, eating fair. Pick mid October. Use December - May.","Cooking"
"144","Bravo de Esmolfe","","Esmolfe, Penacova, Portugal","18th century","A small, juicy and sweet apple, considered one of the best Portuguese apples","Eating"
"145","Breakey[5]","","Manitoba, Canada","Introduced 1935","Fruit medium size, red and scarlet. Flesh white, melting, juicy, spicy. Use September - November.","Cooking, Eating"
"146","Breda Reinette(syn. Reinette von Breda, Reinette de Breda)[34]","","Netherlands","<1850","W 65, H 56. Stalk 7 mm. Flesh yellowish, juicy, aromatic. Use December - March.","Cooking, Eating"
"147","Breedon Pippin","","England","1801","Sweet flavor. Originally raised by a parson in Berkshire. Rare.","Eating"
"148","Breuhahn[18]","","Germany","1895 Introduced 1934","W 63, H 53, We 93. Stalk 17 – 25 mm. Pick September - October. Use October - April.","Cooking, Eating"
"149","Briar Sweet see Pound Sweet",NA,NA,NA,NA,NA
"150","Brina","","Italy","1998","Resistant to scab. Spreading habit with intermediate vigor; full flowering season is medium-late, production is heavy, fruit is medium or medium-large, with smooth skin; white lenticels, no russet, excellent taste characteristics. Ripens first week of October (Trentino).","Eating"
"151","Broad Eyed Pippin[8]","","England","<1700","A yellow apple with some light brown flush. W 93, H 70. Stalk short. Flesh white, acid. Pick late September. Use November - January.","Cooking, Cider."
"152","Brownlee's Russet[7][8][21]","","Hempstead, Hertfordshire, England","c1848","Green with red flush, covered with russet. W 70-74, H 58-61. Stalk 8-12mm. Flesh greenish white, juicy, acid, nutty flavour. Pick mid October. Use December - March.","Eating"
"153","Buckingham(Syn. Kentucky Queen, Lexington Queen)[79][28][80]","","US","<1817","W 87-93, H 67-78. Stalk 11–21 mm. Flesh coarse, juicy, subacid, fair to good. Use November - February.","Eating"
"154","Buff[4]","","US","<1830","Very large. Stalk 19 mm. Flesh, white, tender. Use November - March.","Eating"
"155","Bullock[28]","","New Jersey, US","<1805","W 59, H 55. Stalk 23 mm. Flesh firm, crisp, tender, juicy, aromatic, subacid, very good to best. Tree not large. Use October - January.","Eating"
"156","Bushey Grove[8][81]","","Hertfordshire, England","1897","A greenish-yellow apple with red flush(25-75%). P Alexande x Dumelow. AM from RHS in 1922. W 78, H 66. Stalk short. Flesh white, juicy, acid. Pick late August. Use October - December.","Cooking, Pie"
"157","Byfleet Seedling[8]","","Surrey, England","1915","Large cooking apple W 96, H 76 mm.","Cooking"
"158","Byford Wonder[7]","","Herefordshire, England","<1893","Yellow with russet dots. Very large. Tree very vigourous. AM from RHS in 1893.","Cooking"
"159","Cabashea[82][28]","","New York, US","<1851","A large oblate apple. W 100, H 68. Stalk 19 mm. Use September - October.","Cooking"
